Date,Campaign Lift
2023-08-01,0.00031572556162728915
2023-08-02,0.35899791350666166
2023-08-03,0.2864912958082224
2023-08-04,0.2948120546029729
2023-08-05,0.2683222697712033
2023-08-06,0.10437778876497772
2023-08-07,0.002074130955969533
2023-08-08,0.08706614537620672
2023-08-09,-0.11595124578827376
2023-08-10,0.05654612864426989
2023-08-11,0.1404685181220482
2023-08-12,0.22994084054187147
2023-08-13,0.11185741709703723
2023-08-14,0.1111378225953168
2023-08-15,-0.04777009691204104
2023-08-16,0.21100087388677635
2023-08-17,0.20206639566395657
2023-08-18,0.29220189533197605
2023-08-19,0.010820225012720064
2023-08-20,0.031751107862396655
2023-08-21,0.03300972580524664
2023-08-22,0.11722138559877315
2023-08-23,0.035501642615839435
2023-08-24,0.03221451752785254
2023-08-25,0.07194171146005801
2023-08-26,0.046466510862059884
2023-08-27,0.21924822566671098
2023-08-28,0.1404616671429295
2023-08-29,0.028161083311486257
2023-08-30,0.0752065352320832
2023-08-31,0.18337117915360612
2023-09-01,0.1424510836275541
